time,temp,device
10/16/2024 17:00:00,21.23,B12
10/16/2024 17:30:00,20.63,B12
10/16/2024 18:00:00,20.63,B12
10/16/2024 18:30:00,20.63,B12
10/16/2024 19:00:00,20.68,B12
10/16/2024 19:30:00,20.72,B12
10/16/2024 20:00:00,20.72,B12
10/16/2024 20:30:00,20.72,B12
10/16/2024 21:00:00,20.8,B12
10/16/2024 21:30:00,20.8,B12
10/16/2024 22:00:00,20.8,B12
10/16/2024 22:30:00,20.8,B12
10/16/2024 23:00:00,20.89,B12
10/16/2024 23:30:00,20.93,B12
10/17/2024 00:00:00,20.89,B12
10/17/2024 00:30:00,20.98,B12
10/17/2024 01:00:00,20.98,B12
10/17/2024 01:30:00,21.02,B12
10/17/2024 02:00:00,21.06,B12
10/17/2024 02:30:00,21.06,B12
10/17/2024 03:00:00,21.06,B12
10/17/2024 03:30:00,21.1,B12
10/17/2024 04:00:00,21.1,B12
10/17/2024 04:30:00,21.19,B12
10/17/2024 05:00:00,21.19,B12
10/17/2024 05:30:00,21.19,B12
10/17/2024 06:00:00,21.19,B12
10/17/2024 06:30:00,21.19,B12
10/17/2024 07:00:00,21.28,B12
10/17/2024 07:30:00,21.28,B12
10/17/2024 08:00:00,21.23,B12
10/17/2024 08:30:00,21.32,B12
10/17/2024 09:00:00,21.28,B12
10/17/2024 09:30:00,21.28,B12
10/17/2024 10:00:00,21.28,B12
10/17/2024 10:30:00,21.36,B12
10/17/2024 11:00:00,21.36,B12
10/17/2024 11:30:00,21.36,B12
10/17/2024 12:00:00,21.4,B12
10/17/2024 12:30:00,21.45,B12
10/17/2024 13:00:00,21.45,B12
10/17/2024 13:30:00,21.4,B12
10/17/2024 14:00:00,21.45,B12
10/17/2024 14:30:00,21.45,B12
10/17/2024 15:00:00,21.4,B12
10/17/2024 15:30:00,21.49,B12
10/17/2024 16:00:00,21.45,B12
10/17/2024 16:30:00,21.45,B12
10/17/2024 17:00:00,21.49,B12
10/17/2024 17:30:00,21.49,B12
10/17/2024 18:00:00,21.49,B12
10/17/2024 18:30:00,21.53,B12
10/17/2024 19:00:00,21.53,B12
10/17/2024 19:30:00,21.49,B12
10/17/2024 20:00:00,21.49,B12
10/17/2024 20:30:00,21.49,B12
10/17/2024 21:00:00,21.49,B12
10/17/2024 21:30:00,21.53,B12
10/17/2024 22:00:00,21.58,B12
10/17/2024 22:30:00,21.49,B12
10/17/2024 23:00:00,21.58,B12
10/17/2024 23:30:00,21.53,B12
10/18/2024 00:00:00,21.53,B12
10/18/2024 00:30:00,21.49,B12
10/18/2024 01:00:00,21.58,B12
10/18/2024 01:30:00,21.58,B12
10/18/2024 02:00:00,21.58,B12
10/18/2024 02:30:00,21.62,B12
10/18/2024 03:00:00,21.62,B12
10/18/2024 03:30:00,21.62,B12
10/18/2024 04:00:00,21.58,B12
10/18/2024 04:30:00,21.58,B12
10/18/2024 05:00:00,21.58,B12
10/18/2024 05:30:00,21.62,B12
10/18/2024 06:00:00,21.62,B12
10/18/2024 06:30:00,21.58,B12
10/18/2024 07:00:00,21.58,B12
10/18/2024 07:30:00,21.62,B12
10/18/2024 08:00:00,21.58,B12
10/18/2024 08:30:00,21.58,B12
10/18/2024 09:00:00,21.62,B12
10/18/2024 09:30:00,21.62,B12
10/18/2024 10:00:00,21.58,B12
10/18/2024 10:30:00,21.53,B12
10/18/2024 11:00:00,21.53,B12
10/18/2024 11:30:00,21.53,B12
10/18/2024 12:00:00,21.53,B12
10/18/2024 12:30:00,21.53,B12
10/18/2024 13:00:00,21.4,B12
10/18/2024 13:30:00,20.29,B12
10/18/2024 14:00:00,18.79,B12
10/18/2024 14:30:00,17.46,B12
10/18/2024 15:00:00,16.21,B12
10/18/2024 15:30:00,15.23,B12
10/18/2024 16:00:00,14.41,B12
10/18/2024 16:30:00,13.6,B12
10/18/2024 17:00:00,13.0,B12
10/18/2024 17:30:00,12.48,B12
10/18/2024 18:00:00,12.01,B12
10/18/2024 18:30:00,11.62,B12
10/18/2024 19:00:00,11.28,B12
10/18/2024 19:30:00,10.98,B12
10/18/2024 20:00:00,10.72,B12
10/18/2024 20:30:00,10.46,B12
10/18/2024 21:00:00,10.29,B12
10/18/2024 21:30:00,10.08,B12
10/18/2024 22:00:00,9.95,B12
10/18/2024 22:30:00,9.82,B12
10/18/2024 23:00:00,9.69,B12
10/18/2024 23:30:00,9.61,B12
10/19/2024 00:00:00,9.52,B12
10/19/2024 00:30:00,9.48,B12
10/19/2024 01:00:00,9.35,B12
10/19/2024 01:30:00,9.35,B12
10/19/2024 02:00:00,9.31,B12
10/19/2024 02:30:00,9.22,B12
10/19/2024 03:00:00,9.18,B12
10/19/2024 03:30:00,9.14,B12
10/19/2024 04:00:00,9.14,B12
10/19/2024 04:30:00,9.09,B12
10/19/2024 05:00:00,9.05,B12
10/19/2024 05:30:00,9.01,B12
10/19/2024 06:00:00,8.96,B12
10/19/2024 06:30:00,9.01,B12
10/19/2024 07:00:00,9.01,B12
10/19/2024 07:30:00,8.96,B12
10/19/2024 08:00:00,8.92,B12
10/19/2024 08:30:00,8.92,B12
10/19/2024 09:00:00,8.88,B12
10/19/2024 09:30:00,8.88,B12
10/19/2024 10:00:00,8.88,B12
10/19/2024 10:30:00,8.92,B12
10/19/2024 11:00:00,8.88,B12
10/19/2024 11:30:00,8.88,B12
10/19/2024 12:00:00,8.83,B12
10/19/2024 12:30:00,8.88,B12
10/19/2024 13:00:00,8.88,B12
10/19/2024 13:30:00,8.96,B12
